normal|fighting||ghost
fire|water,ground,rock|bug,steel,fire,grass,ice,fairy|
water|electric,grass|steel,fire,water,ice|
electric|ground|flying,steel,electric|
grass|fire,ice,poison,flying,bug|ground,water,grass,electric|
ice|fire,fighting,rock,steel|ice|
fighting|flying,psychic,fairy|rock,bug,dark|
poison|ground,psychic|fighting,poison,bug,grass,fairy|
ground|water,grass,ice|poison,rock|electric
flying|electric,ice,rock|fighting,bug,grass|ground
psychic|bug,ghost,dark|fighting,psychic|
bug|fire,flying,rock|fighting,ground,grass|
rock|water,grass,fighting,ground,steel|normal,flying,poison,fire|
ghost|ghost,dark|poison,bug|normal,fighting
dragon|ice,dragon,fairy|fire,water,grass,electric|
dark|fighting,bug,fairy|ghost,dark|psychic
steel|fire,fighting,ground|normal,flying,rock,bug,steel,grass,psychic,ice,dragon,fairy|poison
fairy|poison,steel|fighting,bug,dark|dragon
